Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,6.512000,6.571000,6.498000,6.520000,5.174850,20195987
2016-12-19,6.508000,6.705000,6.503000,6.650000,5.278029,35745297
2016-12-26,6.650000,6.716000,6.583000,6.700000,5.317715,17658273
2017-01-02,6.720000,6.868000,6.633000,6.653000,5.280410,39474893
2017-01-09,6.677000,7.255000,6.531000,7.169000,5.689955,78754401
2017-01-16,7.195000,7.430000,7.163000,7.357000,5.839168,58544431
2017-01-23,7.325000,7.397000,7.240000,7.283000,5.780435,43801973
2017-01-30,7.233000,7.237000,6.862000,6.973000,5.534391,62931599
2017-02-06,6.987000,7.186000,6.883000,7.077000,5.616935,45994855
2017-02-13,7.090000,7.270000,7.010000,7.063000,5.605824,47851029
2017-02-20,7.110000,7.275000,7.074000,7.143000,5.669318,40264869
2017-02-27,7.156000,7.595000,7.137000,7.479000,5.935998,54739497
2017-03-06,7.469000,7.570000,6.980000,7.031000,5.580425,78724218
2017-03-13,7.041000,7.163000,6.695000,7.078000,5.617729,134705661
2017-03-20,7.080000,7.278000,7.040000,7.262000,5.763768,89874468
2017-03-27,7.213000,7.452000,7.135000,7.451000,5.913774,68716000
2017-04-03,7.489000,7.500000,7.212000,7.390000,5.865359,56088311
2017-04-10,7.402000,7.417000,7.281000,7.282000,5.779641,28597800
2017-04-17,7.282000,7.359000,7.052000,7.174000,5.693922,52974942
2017-04-24,7.275000,7.366000,7.077000,7.157000,5.680429,62123838
2017-05-01,7.157000,7.278000,7.012000,7.066000,5.608204,62084864
2017-05-08,7.109000,7.426000,7.010000,7.210000,5.722496,99425015
2017-05-15,7.240000,7.467000,7.110000,7.395000,6.040755,73345739
2017-05-22,7.434000,7.760000,7.372000,7.538000,6.157567,63714675
2017-05-29,7.520000,7.910000,7.482000,7.833000,6.398544,67713309
2017-06-05,7.833000,8.860000,7.771000,8.797000,7.186007,112762514
2017-06-12,8.775000,8.913000,8.566000,8.840000,7.221131,91586776
2017-06-19,8.980000,9.169000,8.858000,8.905000,7.274228,58150045
2017-06-26,8.936000,8.996000,8.248000,8.248000,6.737545,62356006
2017-07-03,8.340000,8.392000,7.995000,8.243000,6.733460,54096494
2017-07-10,8.420000,8.645000,8.332000,8.572000,7.002210,46856048
2017-07-17,8.599000,8.635000,8.304000,8.361000,6.829852,45933332
2017-07-24,8.374000,8.522000,8.234000,8.262000,6.748981,42407890
2017-07-31,8.262000,8.827000,8.245000,8.810000,7.196626,57105235
2017-08-07,8.830000,9.407000,8.664000,9.258000,7.562584,88904911
2017-08-14,9.339000,9.709000,9.334000,9.621000,7.859108,58272837
2017-08-21,9.590000,9.617000,9.306000,9.456000,7.724324,56374146
2017-08-28,9.405000,9.671000,9.291000,9.629000,7.865642,38816460
2017-09-04,9.545000,9.678000,9.362000,9.581000,7.826432,49052324
2017-09-11,9.527000,9.735000,9.115000,9.159000,7.481714,69722623
2017-09-18,9.229000,9.579000,9.106000,9.313000,7.607512,61064084
2017-09-25,9.266000,9.576000,9.180000,9.576000,7.822349,53707739
2017-10-02,9.580000,9.773000,9.210000,9.400000,7.678578,55451256
2017-10-09,9.433000,10.065000,9.433000,9.990000,8.160534,50231050
2017-10-16,10.020000,10.130000,9.916000,10.040000,8.201376,37002140
2017-10-23,10.045000,10.110000,9.700000,10.075000,8.229967,46500063
2017-10-30,10.090000,10.500000,10.030000,10.365000,8.466860,35473421
2017-11-06,10.370000,10.810000,10.255000,10.255000,8.377005,55540694
2017-11-13,10.300000,10.365000,9.701000,9.778000,7.987356,63957761
2017-11-20,9.840000,9.962000,9.520000,9.722000,7.941611,45692844
2017-11-27,9.690000,9.981000,9.554000,9.614000,7.853390,56659614
2017-12-04,9.697000,9.882000,9.569000,9.790000,7.997159,42545170
2017-12-11,9.796000,9.830000,8.970000,9.387000,7.667959,103050664
2017-12-18,9.475000,9.524000,9.100000,9.213000,7.525826,45878981
2017-12-25,9.213000,9.284000,9.060000,9.061000,7.401660,17973832
2018-01-01,9.061000,9.248000,8.981000,9.237000,7.545430,47983850
2018-01-08,9.306000,9.355000,8.847000,8.905000,7.274228,64793071
2018-01-15,8.937000,9.160000,8.784000,8.920000,7.286482,65986650
2018-01-22,8.930000,9.104000,8.595000,8.618000,7.039786,63396230
2018-01-29,8.620000,8.625000,8.197000,8.235000,6.726925,65195067
