Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,71.110001,72.379997,70.739998,72.070000,65.538116,3465345
2016-12-19,72.099998,73.739998,71.550003,73.540001,66.874893,4077697
2016-12-26,73.540001,74.440002,73.470001,74.260002,67.529633,2292433
2017-01-02,74.070000,74.989998,73.680000,74.879997,68.093430,4271104
2017-01-09,74.449997,74.500000,71.540001,73.330002,66.683914,5873926
2017-01-16,72.970001,74.599998,72.919998,74.239998,67.511444,5323288
2017-01-23,73.550003,75.029999,73.050003,74.699997,67.929749,4726225
2017-01-30,74.480003,75.070000,72.849998,73.809998,67.120415,4920863
2017-02-06,73.529999,74.989998,72.620003,74.639999,67.875191,4969946
2017-02-13,74.739998,75.519997,74.389999,75.239998,68.420807,4304333
2017-02-20,75.839996,77.449997,74.760002,75.669998,68.811844,6230913
2017-02-27,76.000000,76.320000,74.809998,75.959999,69.075554,4452738
2017-03-06,75.559998,75.690002,73.589996,74.129997,67.411407,4042917
2017-03-13,74.250000,75.580002,73.959999,75.400002,68.566315,5343428
2017-03-20,75.250000,75.769997,72.019997,73.809998,67.120415,4789713
2017-03-27,73.230003,75.330002,72.879997,75.330002,68.502655,4480418
2017-04-03,75.620003,75.720001,73.529999,74.680000,67.911568,4210980
2017-04-10,74.900002,75.500000,74.500000,74.919998,68.129799,3227080
2017-04-17,74.919998,75.900002,73.349998,73.550003,66.883987,3985016
2017-04-24,74.680000,76.190002,73.500000,74.410004,67.666039,6426452
2017-05-01,74.410004,79.080002,74.410004,78.889999,71.739990,5514700
2017-05-08,79.260002,79.489998,77.970001,79.489998,72.285622,4473790
2017-05-15,78.959999,79.019997,75.830002,76.040001,69.148308,5467521
2017-05-22,76.279999,76.470001,75.440002,76.339996,69.966835,3531983
2017-05-29,76.129997,76.820000,75.410004,76.809998,70.397591,4456587
2017-06-05,76.809998,77.860001,75.540001,77.760002,71.268288,3835824
2017-06-12,77.730003,79.370003,76.629997,79.339996,72.716385,6431168
2017-06-19,79.779999,80.070000,78.050003,78.239998,71.708221,4042358
2017-06-26,78.599998,78.940002,73.830002,75.059998,68.793694,5364770
2017-07-03,75.510002,76.430000,74.110001,74.720001,68.482086,4748403
2017-07-10,75.070000,76.760002,74.480003,76.230003,69.866028,4259089
2017-07-17,76.250000,76.389999,73.290001,73.459999,67.327271,4829839
2017-07-24,73.320000,74.059998,72.150002,72.250000,66.218285,5134873
2017-07-31,72.050003,73.550003,68.769997,69.949997,64.110298,7555734
2017-08-07,70.099998,70.150002,67.160004,68.349998,62.643871,6945148
2017-08-14,68.989998,70.180000,68.300003,68.699997,62.964653,4658526
2017-08-21,68.349998,71.970001,67.690002,71.089996,65.155128,6603932
2017-08-28,70.500000,71.820000,70.019997,71.300003,65.347595,4973003
2017-09-04,70.589996,71.690002,70.040001,70.250000,64.385254,4897566
2017-09-11,70.889999,70.889999,69.620003,69.910004,64.073639,7528808
2017-09-18,70.320000,70.529999,67.720001,67.720001,62.066467,5512461
2017-09-25,67.620003,68.430000,67.440002,68.250000,62.552219,5969120
2017-10-02,68.699997,71.309998,68.430000,70.379997,64.504395,5150992
2017-10-09,70.529999,70.610001,68.500000,69.449997,63.652039,4431868
2017-10-16,69.660004,71.169998,69.519997,71.169998,65.228439,4415158
2017-10-23,71.220001,72.760002,70.430000,72.080002,66.062485,5278204
2017-10-30,72.250000,72.589996,68.400002,69.769997,63.945324,6272575
2017-11-06,69.300003,70.309998,68.300003,68.389999,62.680531,6334362
2017-11-13,68.000000,68.129997,62.930000,63.369999,58.079620,11136582
2017-11-20,63.020000,63.369999,60.509998,60.759998,55.687515,11699065
2017-11-27,60.759998,61.730000,60.150002,60.599998,55.540871,9251095
2017-12-04,61.439999,66.400002,60.970001,66.220001,60.691696,11816533
2017-12-11,66.250000,67.470001,63.930000,64.180000,58.822002,11361598
2017-12-18,64.739998,65.930000,64.389999,65.360001,59.903488,5964762
2017-12-25,65.360001,65.690002,64.709999,65.070000,59.637699,2120683
2018-01-01,65.070000,67.220001,63.700001,67.059998,61.461567,5833901
2018-01-08,67.500000,67.680000,64.760002,65.419998,59.958473,5904419
2018-01-15,65.580002,67.199997,64.800003,67.139999,61.534885,6651013
2018-01-22,67.180000,69.660004,66.919998,69.660004,63.844505,7516748
