Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,24.325001,24.565001,24.325001,24.530001,23.373871,36160
2016-12-19,24.475000,24.900000,24.325001,24.500000,23.345284,167580
2016-12-26,24.500000,24.969999,24.500000,24.965000,23.788368,101840
2017-01-02,24.950001,25.290001,24.320000,24.500000,23.345284,151310
2017-01-09,24.410000,25.540001,24.100000,25.520000,24.317211,138230
2017-01-16,25.510000,26.680000,25.480000,26.565001,25.312958,311250
2017-01-23,27.200001,28.500000,27.010000,28.330000,26.994768,512870
2017-01-30,28.299999,28.905001,28.105000,28.445000,27.104351,276390
2017-02-06,28.745001,30.260000,27.309999,29.850000,28.443132,353300
2017-02-13,29.950001,31.145000,29.549999,29.975000,28.562243,418110
2017-02-20,29.879999,30.285000,29.030001,29.315001,27.933348,163820
2017-02-27,29.594999,29.830000,28.895000,29.235001,27.857119,227390
2017-03-06,29.150000,29.855000,28.975000,29.190001,27.814240,165570
2017-03-13,28.900000,29.580000,28.420000,29.559999,28.166800,254430
2017-03-20,29.500000,30.100000,29.100000,29.600000,28.204914,204830
2017-03-27,29.500000,29.780001,28.930000,29.260000,27.880939,163160
2017-04-03,29.150000,30.299999,28.850000,30.174999,28.752813,225770
2017-04-10,29.799999,35.119999,29.590000,34.700001,33.064545,615690
2017-04-17,34.700001,35.000000,33.900002,34.654999,33.094616,277260
2017-04-24,35.014999,36.900002,35.000000,35.845001,34.231033,481160
2017-05-01,35.845001,36.799999,35.825001,36.299999,34.665546,155860
2017-05-08,36.299999,37.509998,35.535000,36.770000,35.114384,314720
2017-05-15,36.810001,36.910000,34.814999,35.689999,34.083012,226810
2017-05-22,35.619999,36.419998,35.205002,35.869999,34.254906,161870
2017-05-29,35.930000,36.185001,34.494999,35.625000,34.020939,160400
2017-06-05,35.625000,35.735001,34.435001,34.994999,33.419304,153020
2017-06-12,34.775002,35.240002,33.970001,34.695000,33.132816,258080
2017-06-19,34.779999,35.400002,33.099998,33.720001,32.201717,330380
2017-06-26,33.730000,34.439999,33.005001,33.645000,32.130093,202780
2017-07-03,33.634998,34.845001,33.264999,34.025002,32.492981,163830
2017-07-10,34.099998,34.549999,33.400002,34.070000,32.535954,113080
2017-07-17,33.674999,36.619999,32.549999,33.020000,31.533234,823900
2017-07-24,33.000000,34.230000,32.630001,33.869999,32.344959,276950
2017-07-31,33.889999,35.900002,33.790001,35.314999,33.724899,323930
2017-08-07,35.205002,35.834999,34.349998,35.349998,33.758320,241910
2017-08-14,35.275002,36.119999,35.084999,35.349998,33.758320,212880
2017-08-21,35.549999,35.619999,34.055000,34.820000,33.252186,312860
2017-08-28,34.700001,35.360001,33.630001,34.799999,33.233082,197100
2017-09-04,34.775002,35.095001,34.215000,34.549999,32.994343,158290
2017-09-11,34.314999,34.904999,33.025002,33.025002,31.538008,535060
2017-09-18,32.799999,33.755001,31.940001,33.709999,32.192165,482100
2017-09-25,33.610001,33.700001,32.334999,32.930000,31.447285,294740
2017-10-02,32.930000,33.064999,32.509998,32.794998,31.318359,213120
2017-10-09,32.730000,33.915001,32.730000,33.500000,31.991621,279530
2017-10-16,33.380001,35.860001,33.380001,34.869999,33.299931,738520
2017-10-23,35.099998,38.500000,33.820000,38.150002,36.432251,860530
2017-10-30,38.349998,39.220001,37.884998,38.415001,36.685318,656390
2017-11-06,38.900002,39.575001,36.959999,37.500000,35.811516,780380
2017-11-13,37.700001,38.605000,36.974998,38.575001,36.838116,424610
2017-11-20,38.605000,38.980000,37.755001,37.845001,36.140980,316330
2017-11-27,37.634998,38.255001,36.945000,37.310001,35.630070,384330
2017-12-04,37.305000,38.055000,37.084999,37.299999,35.620518,281710
2017-12-11,37.294998,37.320000,35.830002,37.115002,35.443855,282900
2017-12-18,37.500000,38.075001,36.439999,36.689999,35.037987,387160
2017-12-25,36.689999,36.910000,35.970001,36.299999,34.665546,106880
2018-01-01,36.299999,36.700001,35.450001,36.349998,34.713291,186000
2018-01-08,36.299999,36.349998,28.549999,31.850000,30.415913,1814820
2018-01-15,32.349998,33.799999,31.299999,32.500000,31.036646,1014320
2018-01-22,32.500000,34.250000,32.250000,34.000000,32.469109,874540
2018-01-29,34.349998,34.349998,32.549999,32.650002,31.179892,686800
2018-02-05,32.500000,33.299999,30.600000,32.500000,31.036646,712170
2018-02-12,32.950001,33.950001,31.450001,33.750000,32.230362,875270
2018-02-19,34.000000,36.349998,33.349998,36.150002,34.522301,911080
2018-02-26,36.450001,36.450001,33.799999,33.849998,32.325863,1084480
