Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,28.970894,29.282743,28.804573,28.804573,27.706476,2251561
2016-12-19,28.950104,29.168400,28.513514,28.918919,27.816463,3049829
2016-12-26,29.209978,29.449064,28.825363,29.126820,28.016438,1958150
2017-01-02,29.355509,30.114346,29.168400,29.802494,28.666355,3360652
2017-01-09,29.656965,30.124741,29.074844,29.469854,28.346395,3884364
2017-01-16,29.417879,29.428274,28.596674,28.731810,27.636488,4303700
2017-01-23,28.908524,29.282743,27.510000,28.510000,27.423134,4717212
2017-01-30,28.540001,29.790001,28.240000,29.320000,29.320000,5337400
2017-02-06,28.950001,29.209999,28.650000,29.120001,29.120001,3415700
2017-02-13,29.160000,29.420000,28.540001,28.889999,28.889999,2868600
2017-02-20,28.799999,28.900000,27.930000,28.139999,28.139999,2195600
2017-02-27,28.080000,29.260000,28.030001,29.240000,29.240000,5018000
2017-03-06,29.700001,30.150000,29.190001,30.010000,30.010000,5296800
2017-03-13,29.690001,30.250000,29.110001,29.379999,29.379999,3917700
2017-03-20,29.370001,29.469999,28.510000,28.930000,28.930000,3399000
2017-03-27,28.770000,29.180000,28.469999,28.969999,28.969999,3752000
2017-04-03,28.820000,29.070000,27.860001,28.160000,28.160000,4201000
2017-04-10,28.090000,28.219999,27.740000,28.090000,28.090000,2155700
2017-04-17,28.180000,28.809999,27.830000,28.690001,28.690001,3226800
2017-04-24,29.600000,30.309999,29.250000,30.090000,30.090000,4853600
2017-05-01,30.330000,32.259998,30.090000,32.040001,32.040001,4899000
2017-05-08,31.740000,32.320000,31.440001,32.220001,32.220001,5167200
2017-05-15,32.180000,32.799999,31.950001,32.560001,32.560001,4026000
2017-05-22,32.709999,32.970001,32.410000,32.900002,32.900002,2585900
2017-05-29,32.860001,34.380001,32.810001,34.270000,34.270000,3764600
2017-06-05,34.259998,35.009998,33.910000,34.040001,34.040001,3542200
2017-06-12,33.630001,34.639999,33.419998,33.900002,33.900002,4442700
2017-06-19,34.200001,35.259998,34.200001,34.720001,34.720001,5924700
