Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,71.099998,71.849998,70.860001,71.599998,69.866837,125821
2016-12-19,71.000000,72.089996,69.400002,70.500000,68.793457,216561
2016-12-26,70.500000,72.709999,70.500000,70.500000,68.793457,118903
2017-01-02,70.400002,73.339996,70.400002,72.000000,70.257141,190717
2017-01-09,71.919998,72.699997,69.669998,70.099998,68.403145,301184
2017-01-16,70.190002,71.480003,67.300003,69.260002,67.583473,307383
2017-01-23,68.919998,71.059998,68.099998,70.620003,68.910561,432639
2017-01-30,70.080002,71.000000,63.650002,64.669998,63.104584,999499
2017-02-06,64.410004,68.739998,63.660000,67.989998,66.344223,546464
2017-02-13,68.000000,69.510002,67.370003,69.000000,67.329773,409560
2017-02-20,69.389999,70.720001,68.820000,69.919998,68.227501,314847
2017-02-27,70.309998,71.639999,69.709999,70.820000,69.105721,385991
2017-03-06,70.699997,76.809998,70.330002,76.500000,74.648232,522396
2017-03-13,76.879997,81.809998,76.500000,81.300003,79.332054,547440
2017-03-20,81.160004,82.720001,77.000000,79.000000,77.087723,413869
2017-03-27,78.320000,82.430000,78.050003,82.250000,80.259041,302939
2017-04-03,82.900002,82.930000,78.599998,80.220001,78.278183,500618
2017-04-10,80.220001,81.500000,79.000000,81.500000,79.983559,289599
2017-04-17,81.500000,82.010002,80.330002,80.879997,79.375099,294878
2017-04-24,81.879997,84.430000,80.300003,84.059998,82.495934,424574
2017-05-01,84.059998,86.720001,82.309998,84.599998,83.025879,266288
2017-05-08,84.910004,85.239998,82.690002,84.550003,82.976814,305013
2017-05-15,84.699997,87.500000,83.370003,85.800003,84.203568,381639
2017-05-22,86.000000,89.029999,85.300003,88.949997,87.294945,248591
2017-05-29,88.690002,92.599998,88.459999,91.080002,89.385307,298767
2017-06-05,91.080002,91.080002,88.089996,89.470001,87.805275,215117
2017-06-12,89.250000,90.529999,85.309998,89.940002,88.266525,400595
2017-06-19,90.779999,91.489998,89.019997,89.209999,87.550102,205032
2017-06-26,89.209999,89.910004,83.410004,84.480003,82.908119,304854
2017-07-03,85.699997,90.750000,84.739998,89.650002,87.981918,411254
2017-07-10,90.089996,94.309998,89.360001,93.720001,91.976196,350017
2017-07-17,93.800003,94.339996,86.050003,87.910004,86.274307,602107
2017-07-24,87.949997,87.949997,78.930000,80.949997,79.443802,1023447
2017-07-31,80.870003,82.699997,79.000000,82.699997,81.161240,587156
2017-08-07,82.510002,84.959999,80.040001,81.570000,80.052269,546163
2017-08-14,81.529999,85.260002,81.529999,85.260002,83.673615,372859
2017-08-21,85.279999,86.330002,82.930000,83.550003,81.995422,290325
2017-08-28,83.279999,84.349998,80.010002,82.669998,81.131798,305616
2017-09-04,82.059998,84.019997,81.419998,82.220001,80.690170,278324
2017-09-11,81.989998,84.519997,81.440002,83.349998,81.799133,408827
2017-09-18,83.489998,84.150002,81.639999,81.760002,80.238731,249651
2017-09-25,81.779999,83.300003,80.129997,80.879997,79.375099,304935
2017-10-02,81.470001,85.050003,80.099998,83.879997,82.319283,352061
2017-10-09,84.470001,84.739998,82.419998,83.879997,82.319283,269445
2017-10-16,83.330002,83.910004,70.650002,79.360001,77.883385,1213936
2017-10-23,79.099998,82.739998,78.800003,80.599998,79.100311,489614
2017-10-30,80.830002,82.089996,79.220001,80.720001,79.218071,295014
2017-11-06,80.480003,81.019997,76.870003,77.720001,76.273895,355605
2017-11-13,77.800003,78.239998,75.970001,77.839996,76.391663,313365
2017-11-20,77.519997,82.000000,77.489998,80.349998,78.854950,275631
2017-11-27,80.449997,81.980003,76.820000,77.059998,75.626183,364670
2017-12-04,77.989998,83.820000,77.550003,83.379997,81.828575,472497
2017-12-11,82.900002,83.650002,79.790001,82.339996,80.807930,360533
2017-12-18,83.680000,83.680000,78.930000,80.570000,79.070869,229458
2017-12-25,80.570000,81.250000,78.809998,79.540001,78.060043,101686
2018-01-01,79.540001,84.900002,78.650002,84.650002,83.074966,260475
2018-01-08,83.849998,90.050003,83.449997,89.150002,87.491226,362501
2018-01-15,89.000000,89.500000,86.550003,88.550003,86.902390,294357
2018-01-22,88.800003,92.199997,86.800003,91.400002,89.699356,468597
2018-01-29,91.500000,101.300003,87.349998,97.650002,95.833069,662000
2018-02-05,98.150002,98.550003,89.000000,95.050003,93.281441,650792
2018-02-12,96.500000,103.599998,94.900002,101.800003,99.905861,636618
2018-02-19,103.099998,110.500000,100.400002,108.199997,106.186768,634630
2018-02-26,110.300003,115.400002,104.000000,105.699997,103.733284,566676
2018-03-05,105.300003,124.500000,105.199997,122.900002,120.613266,550202
2018-03-12,124.599998,124.599998,116.400002,117.099998,114.921173,611519
2018-03-19,116.900002,121.500000,113.800003,115.599998,113.449074,508301
2018-03-26,112.000000,117.599998,111.199997,113.500000,111.388161,432836
2018-04-02,113.500000,119.900002,110.500000,117.400002,115.215591,445400
2018-04-09,118.199997,128.399994,118.000000,127.400002,125.575027,458384
2018-04-16,127.500000,130.500000,126.099998,127.000000,125.707985,639587
2018-04-23,128.100006,131.100006,118.599998,125.000000,123.728340,953047
2018-04-30,125.500000,129.199997,125.500000,127.400002,126.103920,512033
2018-05-07,127.099998,130.300003,127.099998,129.000000,127.687645,421465
2018-05-14,129.300003,138.800003,127.900002,135.300003,133.923569,624864
2018-05-21,135.300003,146.300003,135.300003,140.000000,138.575745,655601
2018-05-28,136.000000,140.500000,120.099998,122.000000,120.758858,3759991
2018-06-04,123.099998,129.100006,119.800003,122.199997,120.956825,720993
2018-06-11,122.400002,133.199997,121.599998,124.300003,123.035461,758756
2018-06-18,124.199997,126.199997,120.699997,122.000000,120.758858,452294
2018-06-25,122.000000,129.500000,121.599998,128.100006,126.796806,398653
2018-07-02,126.400002,137.199997,125.800003,136.000000,134.616440,401299
2018-07-09,137.000000,143.699997,136.500000,143.199997,141.743179,405713
2018-07-16,142.199997,146.699997,140.399994,145.899994,144.415710,404302
2018-07-23,145.600006,150.699997,138.500000,145.100006,143.623856,550425
2018-07-30,145.100006,146.199997,134.300003,142.100006,140.654388,382220
2018-08-06,142.199997,146.199997,139.899994,143.500000,142.040131,295997
2018-08-13,142.500000,144.800003,138.399994,140.399994,138.971664,226024
2018-08-20,140.000000,148.199997,140.000000,146.100006,144.613693,200851
2018-08-27,146.699997,160.199997,146.300003,156.399994,154.808899,296839
2018-09-03,155.600006,159.500000,143.600006,147.300003,145.801483,349753
2018-09-10,149.000000,152.899994,144.600006,148.100006,146.593369,300093
2018-09-17,148.000000,149.899994,139.699997,141.800003,140.357422,790384
2018-09-24,142.699997,145.000000,137.500000,139.800003,138.377777,411549
2018-10-01,140.699997,143.800003,133.600006,133.600006,132.240860,407201
2018-10-08,132.699997,133.600006,114.699997,125.400002,124.124275,748776
2018-10-15,127.500000,130.399994,121.099998,122.199997,120.956825,563276
2018-10-22,123.400002,123.599998,107.800003,120.599998,119.373100,784323
2018-10-29,120.099998,139.199997,118.599998,134.300003,132.933731,619697
2018-11-05,135.199997,137.600006,130.500000,132.699997,131.350006,427175
2018-11-12,133.300003,133.300003,118.300003,120.000000,118.779213,422538
2018-11-19,120.099998,120.900002,110.300003,114.199997,113.038208,448799
2018-11-26,113.000000,117.099998,109.699997,112.099998,110.959579,487572
